main_activity,clustered,tilt_subsector
retailer,fruit,Food Related Products
retailer,fruit juices,Food Related Products
retailer,fruit plants,Agriculture & Livestock
retailer,fruit trade,Food Related Products
retailer,"fuels, solid",Construction Buildings
retailer,furnishing fabrics,Construction Buildings
retailer,furnishings accessories,Construction Residential
retailer,furnishings equipment,Construction Residential
retailer,game,Construction Buildings
retailer,"games, garden",Construction Buildings
retailer,garages equipment,Automotive HDV
retailer,garages installations,Automotive HDV
retailer,garden decoration,Food Related Products
retailer,garden items,Construction Residential
retailer,garden pond liner,Agriculture & Livestock
retailer,garden tools,Construction Residential
retailer,garden watering systems,Other Industry
retailer,gardening articles,Machinery & Equipment
retailer,gardening equipment,Construction Buildings
retailer,gardening machinery,Machinery & Equipment
retailer,gardening supplies,Agriculture & Livestock
retailer,gardening tool,Construction Buildings
retailer,gas,Gas Energy
retailer,gastronomic specialties,Food Related Products
retailer,gift item,Food Related Products
retailer,glass bottle,Construction Residential
retailer,glass hollowware,Construction Residential
retailer,glass hollowware - household articles,Construction Residential
retailer,glass jars,Construction Residential
retailer,glass manufacturing equipment,Machinery & Equipment
retailer,glass manufacturing machinery,Machinery & Equipment
retailer,glass washers for institutions,Machinery & Equipment
retailer,"glass, industrial",Construction Residential
retailer,gluten-free product,Food Related Products
retailer,goats,Agriculture & Livestock
retailer,gold bars,Iron & Steel
retailer,gold coins,Other Metals
retailer,gold collection coins,Iron & Steel
retailer,gold jewellery,The tilt_subsector would be Other Metals
retailer,gold tokens,Other Metals
retailer,goldsmith's equipment,Iron & Steel
retailer,goldsmith's machinery,Iron & Steel
retailer,gourmet foods,Food Related Products
retailer,gourmet gifts for businesses,Food Related Products
retailer,granita machines,Machinery & Equipment
retailer,granite,Construction Buildings
retailer,green plant,Agriculture & Livestock
retailer,greenhouse plant,Agriculture & Livestock
retailer,grounds maintenance equipment,Machinery & Equipment
retailer,group travel,Other Transport
retailer,guided tour,Food Related Products
retailer,guided visit,Automotive LDV
retailer,gum sweets,Food Related Products
retailer,ham,Food Related Products
retailer,hand-made ice-cream,Food Related Products
retailer,hand-made pasta,Food Related Products
retailer,hardware,Fishing & Forestry
retailer,health functional food,Food Related Products
retailer,helium gas balloons,Shipping
retailer,hemp,Agriculture & Livestock
retailer,hemp infusions,Agriculture & Livestock
retailer,hemp seed oil,Food Related Products
retailer,herbs for cosmetics,Food Related Products
retailer,herbs for medicines,Agriculture & Livestock
retailer,holiday farm for school trips,Food Related Products
retailer,home accessory,Food Related Products
retailer,home-made beer,Food Related Products
retailer,homogenizers for the dairy industry,Food Related Products
retailer,honey,Food Related Products
retailer,hooks,Machinery & Equipment
retailer,horse riding jackets,Machinery & Equipment
retailer,horticulture equipment,Machinery & Equipment
retailer,horticulture machinery,Machinery & Equipment
retailer,horticulture supplies,Agriculture & Livestock
retailer,hotel,Food Related Products
retailer,hotel equipment,Machinery & Equipment
retailer,hotels machinery,Machinery & Equipment
retailer,household knive,A: Fishing & Forestry
retailer,hunting equipment,Agriculture & Livestock
retailer,"hydroponics, equipment",Machinery & Equipment
retailer,"hydroponics, supplies",Machinery & Equipment
retailer,ice cream cakes,Food Related Products
retailer,"ice-cream makers, professional",Machinery & Equipment
retailer,iceboxes,Machinery & Equipment
retailer,indoor plants,Agriculture & Livestock
retailer,indoor stainless steel mesgh curtains,Construction Buildings
retailer,indoor trampolines,Construction Buildings
retailer,industrial equipment hire,Machinery & Equipment
retailer,industrial hardware,Machinery & Equipment
retailer,industrial machinery,Machinery & Equipment
retailer,industrial robots,Machinery & Equipment
retailer,industrial trailer,Automotive HDV
retailer,industrial vehicle rental,Machinery & Equipment
retailer,infusions,Food Related Products
retailer,integrators,Food Related Products
retailer,interior design,Other Industry
retailer,international road haulage,A: Other Transport
retailer,irrigation systems,Machinery & Equipment
retailer,jewelery,Iron & Steel
retailer,jeweller's equipment,Iron & Steel
retailer,jeweller's machinery,Iron & Steel
retailer,jewellery,Other Metals
retailer,jewellery purchased,Iron & Steel
retailer,jewellery watches,The tilt_subsector would be Other Metals
retailer,kayaks,Shipping
retailer,kitchen accessories,Construction Residential
retailer,kitchens - furnishing,Construction Residential
retailer,laboratory dealers,Iron & Steel
retailer,"lamps, camping",Machinery & Equipment
retailer,language-learning holidays,Food Related Products
retailer,led bicycle light,Machinery & Equipment
retailer,left hand drive car,Automotive LDV
retailer,light stabiliser fabric,Construction Buildings
retailer,lighting accessories,Construction Buildings
retailer,lighting equipment,Machinery & Equipment
retailer,"lighting, domestic",Construction Buildings
retailer,liquorice,Food Related Products
retailer,liquors,Agriculture & Livestock
retailer,litter,Food Related Products
retailer,live coral,A: Agriculture & Livestock
retailer,livestock raising machinery,Machinery & Equipment
retailer,lorries,Automotive HDV
retailer,machine,Machinery & Equipment
retailer,machine tool,Iron & Steel
retailer,machine tools - metal shaping,Iron & Steel
retailer,machine tools accessories,Iron & Steel
retailer,machine tools part,Iron & Steel
retailer,machinery for the glass industry,Machinery & Equipment
retailer,"machinery, reconditioned",Machinery & Equipment
retailer,"machinery, used",Machinery & Equipment
retailer,machines for bakeries,Machinery & Equipment
retailer,maintenance equipment,Automotive HDV
retailer,maintenance work,Construction Buildings
retailer,majolica coverings,Construction Buildings
retailer,make-up,Food Related Products
retailer,make-up articles,The tilt_subsector would be Food Related
retailer,malt beverage,Food Related Products
retailer,manufacture equipment,Construction Buildings
retailer,manufacture machinery,Machinery & Equipment
retailer,marble,Construction Buildings
retailer,marine aquariums,Other Industry
retailer,marine engine spares,Shipping
retailer,meats equipment,Food Related Products
retailer,meats machinery,Machinery & Equipment
retailer,medicinal herb,Agriculture & Livestock
retailer,medicinal plant,Agriculture & Livestock
retailer,metal brushing,Other Metals
retailer,metal curtains,Construction Buildings
retailer,metal machining accessories,Iron & Steel
retailer,metal machining parts,Iron & Steel
retailer,metal shaping accessories,Iron & Steel
retailer,metal shaping parts,Iron & Steel
retailer,micro-remote cameras for control,Machinery & Equipment
retailer,micro-remote cameras for inspection,Machinery & Equipment
retailer,milk protein-free food,Food Related Products
retailer,millet seeds,Agriculture & Livestock
retailer,mining equipment,Machinery & Equipment
retailer,mining machinery,Machinery & Equipment
retailer,miscellaneous aquatic products,Agriculture & Livestock
retailer,miscellaneous office supply articles,Machinery & Equipment
retailer,mobile partitions,Construction Buildings
retailer,model making,Machinery & Equipment
retailer,modular floors,Construction Residential
retailer,monobloc pools,Construction Buildings
retailer,mortorcycle accessories,Automotive LDV
retailer,mosaic tiles,Construction Buildings
retailer,motor vehicle windscreen replacement,Automotive LDV
retailer,motorbike rental,Machinery & Equipment
retailer,motorboats,Shipping
retailer,motorcycle accessories,Automotive LDV
retailer,motorcycle boots,Machinery & Equipment
retailer,motorcycle clothing,Machinery & Equipment
retailer,motorcycle helmets,Machinery & Equipment
retailer,motorcycle rental,Other Transport
